QA output created by 1078

=== pcp-pidstat without filters
Linux ram-Lenovo 4.4.0-28-generic #47-Ubuntu SMP Fri Jun 24 10:09:13 UTC 2016 x86_64	(4 CPU)
Timestamp	UID	PID	usr	system	guest	%CPU	CPU	Command
15:05:38	0	156	?	?	?	?	3	scsi_tmf_1
15:05:38	0	157	?	?	?	?	2	scsi_eh_2
15:05:38	0	158	?	?	?	?	0	scsi_tmf_2
15:05:38	0	159	?	?	?	?	0	scsi_eh_3
15:05:38	0	160	?	?	?	?	0	scsi_tmf_3
15:05:38	0	161	?	?	?	?	1	scsi_eh_4
15:05:38	0	162	?	?	?	?	0	scsi_tmf_4
15:05:38	0	163	?	?	?	?	3	scsi_eh_5
15:05:38	1000	14639	?	?	?	?	2	pmlogger
15:05:38	0	165	?	?	?	?	2	scsi_tmf_5
15:05:38	1000	9297	?	?	?	?	0	gnome-terminal-
15:05:38	0	168	?	?	?	?	1	kfd_process_wq
15:05:38	1000	8361	?	?	?	?	3	slack
15:05:38	0	14506	?	?	?	?	2	kworker/2:2
15:05:38	0	172	?	?	?	?	1	ttm_swap
15:05:38	0	174	?	?	?	?	3	bioset
15:05:38	0	5295	?	?	?	?	2	dhclient
15:05:38	1000	11956	?	?	?	?	3	chrome
15:05:38	0	1029	?	?	?	?	3	mdadm
15:05:38	0	14526	?	?	?	?	3	kworker/3:0
15:05:38	1000	7871	?	?	?	?	2	gvfsd-network
15:05:38	1000	5313	?	?	?	?	0	upstart-dbus-br
15:05:38	0	603	?	?	?	?	3	kvm-irqfd-clean
15:05:38	1000	5315	?	?	?	?	0	upstart-dbus-br
15:05:38	1000	5317	?	?	?	?	1	upstart-file-br
15:05:38	0	14535	?	?	?	?	3	kworker/3:1
15:05:38	0	14537	?	?	?	?	1	kworker/1:1
15:05:38	1000	5834	?	?	?	?	2	evolution-calen
15:05:38	1000	5666	?	?	?	?	2	gvfs-udisks2-vo
15:05:38	1000	11982	?	?	?	?	3	chrome
15:05:38	1000	5658	?	?	?	?	1	redshift
15:05:38	0	14033	?	?	?	?	0	kworker/u16:4
15:05:38	1000	5330	?	?	?	?	2	gpg-agent
